Part 2: top-3 most prominent answering individuals,
answerer,questions_answered
11142,1408
1946,1223
297,1038
,
,
Part 3: top-3 individuals with the most questions asked,
questioner,questions_asked
6094,1051
290,844
1459,587
,
,
Part 4: top-5 most common asker-answerer pairs,
answerer,questioner
2672,1946
7206,1946
6094,11142
8628,75
8133,1946
,
,
Part 5: the number of interactions (questions asked/answered) over the months of September-2010 to December-2010,
month,total_interactions
September,1979
October,2114
November,1938
December,1660
,
,
Part 6: top-3 individuals with the maximum overall activity,
user,total_activity
11142,1408
1946,1223
6094,1051
